link,title,description,category,pub_date,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15
https://vnexpress.net/thanh-pho-bot-bien-cach-ngan-lu-lut-moi-cua-trung-quoc-4146875.html,'Thành phố bọt biển' - cách ngăn lũ lụt mới của Trung Quốc,"""Thành phố bọt biển"" dựng vườn trên mái nhà, vỉa hè thấm nước và bể chứa ngầm để kiểm soát nguy cơ lũ từ các con sông.",Thế giới,"Thứ hai, 17/8/2020, 00:00 (GMT+7)",trung quốc lũ lụt,thành phố bọt biển,dự án ngăn lũ,đập tam hiệp,lũ lụt càn quét phía nam trung quốc,,,,,,,,,,,
https://vnexpress.net/biden-va-harris-chia-buon-voi-gia-dinh-trump-4147499.html,Biden và Harris chia buồn với gia đình Trump,Ứng viên tổng thống và phó tổng thống đảng Dân chủ gửi lời chia buồn với gia đình Trump sau khi em trai Tổng thống qua đời.,Thế giới,"Thứ hai, 17/8/2020, 08:38 (GMT+7)",trump,tổng thống mỹ,donald trump,em trai trump,robert trump,em trai trump qua đời,,,,,,,,,,
https://vnexpress.net/mua-lon-gay-ngap-hon-3-km-quoc-lo-o-quang-ninh-4147541.html,Mưa lớn gây ngập hơn 3 km quốc lộ ở Quảng Ninh,"Mưa lớn kéo dài khiến quốc lộ 18A, đoạn qua phường Quang Hanh, TP Cẩm Phả (Quảng Ninh) và nhiều nhà dân hai bên đường chìm trong nước.",Thời sự,"Thứ hai, 17/8/2020, 09:04 (GMT+7)",mưa lớn,gây lụt hơn 3 km,quốc lộ 18a,tp hạ long,tp cẩm phả,,,,,,,,,,,
https://vnexpress.net/gan-22-trieu-nguoi-nhiem-ncov-toan-cau-4147475.html,Gần 22 triệu người nhiễm nCoV toàn cầu,"Thế giới ghi nhận gần 22 triệu người nhiễm nCoV, gần 773.000 người chết, nhiều nước tiếp tục chứng kiến số ca nhiễm mới tăng đột biến.",Thế giới,"Thứ hai, 17/8/2020, 06:31 (GMT+7)",ncov,covid-19,số ca nhiễm,số ca tử vong toàn cầu,,,,,,,,,,,,
https://vnexpress.net/robot-thay-con-nguoi-tu-viec-thu-cong-den-tri-tue-4146145.html,Robot thay con người từ việc thủ công đến trí tuệ,"Robot từng được dùng để thay thế lao động phổ thông, nay đã đe dọa cả nhân viên văn phòng, trực điện thoại hay kiểm soát chất lượng.",Số hóa,"Thứ hai, 17/8/2020, 07:03 (GMT+7)",robot,ai,,,,,,,,,,,,,,
https://vnexpress.net/dien-thoai-vivo-ban-nhieu-thu-3-viet-nam-4146812.html,Điện thoại Vivo bán nhiều thứ 3 Việt Nam,"Lượng điện thoại bán cho các nhà phân phối của Vivo đạt 12% thị phần smartphone ""bán buôn"" tại Việt Nam trong quý II/2020 , theo báo cáo từ Canalys.",Số hóa,"Thứ hai, 17/8/2020, 07:00 (GMT+7)",vivo,thị phần smartphone việt nam,thị phần smartphone quý ii,,,,,,,,,,,,,
https://vnexpress.net/cuu-qua-giang-oto-duoi-theo-dan-vi-di-cham-4147392.html,Cừu quá giang ôtô đuổi theo đàn vì đi chậm,Trong khi cả đàn cuốc bộ thì chú cừu chậm chạp này lại thoải mái ngồi ôtô hóng gió trời.,Hài,"Thứ hai, 17/8/2020, 08:00 (GMT+7)",cừu,quá giang,ôtô,đuổi theo đàn,đi chậm,,,,,,,,,,,
https://vnexpress.net/co-gai-lam-banh-mi-bi-hieu-nham-la-nhan-sam-4147330.html,"Cô gái làm bánh mì, bị hiểu nhầm là nhân sâm","'Rõ ràng mình làm giống mọi người chỉ...', chủ nhân phân bua khi sản phẩm của cô nàng khiến mọi người thỏa sức tưởng tượng.",Hài,"Thứ hai, 17/8/2020, 09:30 (GMT+7)",bánh mì,bị hiểu nhầm,nhân sâm,,,,,,,,,,,,,
https://vnexpress.net/de-thi-nang-khieu-bao-chi-hoi-ve-covid-19-4147035.html,Đề thi Năng khiếu báo chí hỏi về Covid-19,"Ngoài 30 câu trắc nghiệm, đề thi Năng khiếu Báo chí yêu cầu học sinh suy nghĩ việc mẹ Nguyễn Thị Ba ủng hộ lương thực cho khu cách ly.",Giáo dục,"Thứ bảy, 15/8/2020, 17:16 (GMT+7)",đề thi năng khiếu báo chí,mẹ liệt sĩ nguyễn thị ba,học viện báo chí và tuyên truyền,,,,,,,,,,,,,
https://vnexpress.net/sau-con-ca-xep-hang-xem-tivi-4146200.html,Sáu con cá xếp hàng xem tivi,Chẳng biết có phải vì tiếng nhạc phim hấp dẫn hay không mà những con cá lại 'ngồi' chỉn chu như vậy.,Hài,"Thứ sáu, 14/8/2020, 08:44 (GMT+7)",sáu con cá,xếp hàng,xem tivi,,,,,,,,,,,,,
https://vnexpress.net/bay-cach-giup-tre-co-mot-nam-hoc-thuan-loi-4146635.html,Bảy cách giúp trẻ có một năm học thuận lợi,"Khi Covid-19 còn phức tạp, ngoài nâng cao sức khỏe cho trẻ, bạn nên gần gũi, dạy trẻ thêm nhiều kỹ năng và cách quản lý cảm xúc.",Giáo dục,"Thứ bảy, 15/8/2020, 04:00 (GMT+7)",giúp trẻ có một năm học thuận lợi,cách dạy con,phương pháp dạy con hay,,,,,,,,,,,,,
https://vnexpress.net/soc-dat-danh-nhau-nhu-vo-si-giua-duong-4146150.html,Sóc đất đánh nhau như võ sĩ giữa đường,"Hai nhân vật chính liên tục tung ra những cú đấm, đòn siết cổ nhắm vào đối phương.",Hài,"Thứ sáu, 14/8/2020, 12:00 (GMT+7)",sóc đất,đánh nhau,võ sĩ,giữa đường,,,,,,,,,,,,
https://vnexpress.net/hoc-tu-moi-tieng-anh-qua-ngu-canh-4146184.html,Học từ mới tiếng Anh qua ngữ cảnh,"Khi học từ ""budget"", bạn có thể liên tưởng đến cụm ""travelling on a tight budget"" và nhớ về một ai đó đã đi du lịch xa mà chỉ tốn ít tiền.",Giáo dục,"Thứ bảy, 15/8/2020, 09:00 (GMT+7)",học từ mới qua ngữ cảnh,học tiếng anh,từ vựng tiếng anh,,,,,,,,,,,,,
https://vnexpress.net/chu-gian-tim-nguoi-vi-cho-husky-nhay-len-nguoi-4146128.html,Chủ 'giận tím người' vì chó Husky nhảy lên người,Chú chó chạy mấy vòng lấy đà rồi bất ngờ nhảy lên người cậu chủ đang nằm trên ghế sofa.,Hài,"Thứ sáu, 14/8/2020, 08:00 (GMT+7)",chủ,giận tím mặt,chó husky,,,,,,,,,,,,,
https://vnexpress.net/vit-con-chay-nhu-ten-ban-4146731.html,Vịt con chạy như 'tên bắn',Vẻ ngoài của con vịt không cho người khác thấy nó có tốc độ cao như vậy.,Hài,"Thứ sáu, 14/8/2020, 20:30 (GMT+7)",vịt con,chạy,như tên bắn,,,,,,,,,,,,,
